Cluster,CAZyme,Cellulose,Hemicellulose,Lignin,Oligosaccharides
vanillic acid-CazC4,GH13_11,0,0,0,1
4-hydroxybenzoic acid-CazC7,GH13_11,0,0,0,1
glucose-CazC2,GH13_17,0,0,0,1
xylose-CazC1,GH13_24,0,0,0,1
xylose-CazC5,GH13_3,0,0,0,1
fucose-CazC2,GH13_33,0,0,0,1
xylose-CazC1,GH13_33,0,0,0,1
fucose-CazC1,GH13_40,0,0,0,1
xylose-CazC1,GH13_40,0,0,0,1
vanillic acid-CazC1,GH13_40,0,0,0,1
fucose-CazC1,GH13_6,0,0,0,1
xylose-CazC1,GH13_6,0,0,0,1
xylose-CazC1,GH13_7,0,0,0,1
vanillic acid-CazC1,GH13_7,0,0,0,1
4-hydroxybenzoic acid-CazC1,GH13_7,0,0,0,1
fucose-CazC1,GH14,0,0,0,0
vanillic acid-CazC1,GH14,0,0,0,0
4-hydroxybenzoic acid-CazC4,GH14,0,0,0,0
glucose-CazC2,GH141,0,1,0,1
benzoic acid-CazC2,GH141,0,1,0,1
fucose-CazC2,GH144,0,0,0,1
vanillic acid-CazC2,GH144,0,0,0,1
4-hydroxybenzoic acid-CazC6,GH144,0,0,0,1
vanillic acid-CazC1,GH147,0,1,0,1
benzoic acid-CazC2,GH147,0,1,0,1
fucose-CazC1,GH148,0,0,0,0
xylose-CazC1,GH148,0,0,0,0
vanillic acid-CazC1,GH148,0,0,0,0
4-hydroxybenzoic acid-CazC1,GH148,0,0,0,0
fucose-CazC1,GH153,0,0,0,0
xylose-CazC1,GH153,0,0,0,0
fucose-CazC2,GH17,0,1,0,1
xylose-CazC3,GH17,0,1,0,1
fucose-CazC2,GH18,0,0,0,0
xylose-CazC2,GH18,0,0,0,0
fucose-CazC2,GH19,0,0,0,0
xylose-CazC3,GH19,0,0,0,0
"3,6-anhydro-D-galactose-CazC0",GH19,0,0,0,0
4-hydroxybenzoic acid-CazC5,GH20,0,0,0,1
fucose-CazC4,GH23,0,0,0,0
glucose-CazC5,GH25,0,0,0,0
vanillic acid-CazC2,GH26,1,1,0,1
benzoic acid-CazC1,GH26,1,1,0,1
fucose-CazC2,GH27,0,1,0,1
xylose-CazC2,GH27,0,1,0,1
fucose-CazC2,GH30,1,1,0,1
xylose-CazC2,GH30,1,1,0,1
glucose-CazC4,GH30_2,1,1,0,1
benzoic acid-CazC2,GH30_2,1,1,0,1
glucose-CazC3,GH30_5,1,1,0,1
4-hydroxybenzoic acid-CazC4,GH30_7,1,1,0,1
xylose-CazC2,GH32,0,0,0,1
vanillic acid-CazC2,GH32,0,0,0,1
4-hydroxybenzoic acid-CazC6,GH32,0,0,0,1
fucose-CazC2,GH37,0,0,0,1
xylose-CazC3,GH37,0,0,0,1
glucose-CazC2,GH3|3.2.1.21,1,1,1,1
glucose-CazC2,GH3|3.2.1.21,1,1,1,1
vanillic acid-CazC1,GH3|3.2.1.21,1,1,1,1
vanillic acid-CazC1,GH3|3.2.1.21,1,1,1,1
glucose-CazC4,GH43,0,1,0,1
benzoic acid-CazC2,GH43,0,1,0,1
glucose-CazC5,GH43_12,0,1,0,1
glucose-CazC2,GH43_37,0,1,0,1
fucose-CazC2,GH43_5,0,1,0,1
xylose-CazC2,GH43_5,0,1,0,1
vanillic acid-CazC2,GH43_5,0,1,0,1
4-hydroxybenzoic acid-CazC1,GH43_5,0,1,0,1
glucose-CazC3,GH43_9,0,1,0,1
glucose-CazC5,GH44,1,1,0,1
glucose-CazC2,GH45,1,1,0,1
fucose-CazC2,GH47,0,0,0,1
4-hydroxybenzoic acid-CazC3,GH5,1,1,0,1
fucose-CazC1,GH50,0,0,0,1
xylose-CazC1,GH50,0,0,0,1
vanillic acid-CazC2,GH53,0,1,0,1
fucose-CazC3,GH57,0,0,0,1
xylose-CazC5,GH57,0,0,0,1
fucose-CazC1,GH59,0,1,0,1
xylose-CazC1,GH59,0,1,0,1
4-hydroxybenzoic acid-CazC3,GH59,0,1,0,1
"3,6-anhydro-D-galactose-CazC0",GH5_1,1,1,0,1
fucose-CazC2,GH5_13,1,1,0,1
"3,6-anhydro-D-galactose-CazC0",GH5_22,1,1,0,1
glucose-CazC3,GH5_25,1,1,0,1
fucose-CazC2,GH5_25,1,1,0,1
4-hydroxybenzoic acid-CazC1,GH5_25,1,1,0,1
glucose-CazC2,GH5_26,1,1,0,1
benzoic acid-CazC2,GH5_26,1,1,0,1
vanillic acid-CazC1,GH5_27,1,1,0,1
benzoic acid-CazC2,GH5_27,1,1,0,1
glucose-CazC2,GH5_4,1,1,0,1
xylose-CazC1,GH5_44,1,1,0,1
vanillic acid-CazC1,GH5_44,1,1,0,1
4-hydroxybenzoic acid-CazC4,GH5_44,1,1,0,1
fucose-CazC2,GH5_46,1,1,0,1
glucose-CazC5,GH6,1,1,0,1
"3,6-anhydro-D-galactose-CazC0",GH62,0,1,0,1
glucose-CazC5,GH63,0,0,0,1
fucose-CazC2,GH63,0,0,0,1
xylose-CazC2,GH63,0,0,0,1
"3,6-anhydro-D-galactose-CazC0",GH63,0,0,0,1
fucose-CazC3,GH65,0,0,0,1
xylose-CazC5,GH65,0,0,0,1
vanillic acid-CazC3,GH65,0,0,0,1
fucose-CazC2,GH73,0,0,0,1
xylose-CazC3,GH73,0,0,0,1
4-hydroxybenzoic acid-CazC6,GH73,0,0,0,1
xylose-CazC1,GH76,0,0,0,1
fucose-CazC3,GH77,0,0,0,0
xylose-CazC5,GH77,0,0,0,0
vanillic acid-CazC3,GH77,0,0,0,0
4-hydroxybenzoic acid-CazC7,GH77,0,0,0,0
glucose-CazC5,GH8,1,1,0,1
xylose-CazC1,GH87,0,0,0,1
vanillic acid-CazC1,GH89,0,0,0,0
vanillic acid-CazC2,GH9,1,1,0,1
4-hydroxybenzoic acid-CazC5,GH9,1,1,0,1
